,src,dst,band0,band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23
0,5,4,0.333637427,0.241866306,0.008348226,0.012762427,0.004883281,0.000773105,0.000720912,0.003080023,0.003139393,0.082260301,0.167746765,0.560330657,0.980560381,0.469495744,0.465906188,0.794978058,1.901973358,0.321819689,0.171250202,0.909398863,0.444874477,0.332143411,0.319195048,0.145339124
1,4,5,0.333637427,0.241866306,0.008348226,0.012762427,0.004883281,0.000773105,0.000720912,0.003080023,0.003139393,0.082260301,0.167746765,0.560330657,0.980560381,0.469495744,0.465906188,0.794978058,1.901973358,0.321819689,0.171250202,0.909398863,0.444874477,0.332143411,0.319195048,0.145339124
2,0,8,0.577535989,0.736824271,0.146570873,0.143616113,0.067964714,0.051107117,0.050200268,0.054282391,0.134708771,0.355935466,0.995103884,0.938246435,0.984087958,0.953388848,1.07623291,0.904154798,0.781026288,1.091103922,0.916272644,1.526535431,1.295152684,1.02846417,1.433226581,1.066043584
3,8,0,0.577535989,0.736824271,0.146570873,0.143616113,0.067964714,0.051107117,0.050200268,0.054282391,0.134708771,0.355935466,0.995103884,0.938246435,0.984087958,0.953388848,1.07623291,0.904154798,0.781026288,1.091103922,0.916272644,1.526535431,1.295152684,1.02846417,1.433226581,1.066043584
4,3,5,0.081391294,0.014162496,0.214969438,0.050523862,0.00419499,0.002168609,0.003237907,0.002752514,0.019644037,0.047420353,0.466189986,0.851590853,0.989582546,0.904398799,0.636719276,0.940202357,1.532242052,1.931872612,1.129199392,0.546675734,0.523767044,0.834375736,0.364588367,0.20637395
5,5,3,0.081391294,0.014162496,0.214969438,0.050523862,0.00419499,0.002168609,0.003237907,0.002752514,0.019644037,0.047420353,0.466189986,0.851590853,0.989582546,0.904398799,0.636719276,0.940202357,1.532242052,1.931872612,1.129199392,0.546675734,0.523767044,0.834375736,0.364588367,0.20637395
6,3,0,0.091910736,0.117619567,0.007009483,0.001252626,0.000780281,0.000733961,0.000743747,0.000698078,0.002523518,0.0049557,0.08802825,0.02227455,0.044178533,0.023082234,0.011709438,0.025316732,0.037567019,0.026273818,0.020965818,0.061969727,0.157494809,0.179496653,0.181506725,0.048494218
7,0,3,0.091910736,0.117619567,0.007009483,0.001252626,0.000780281,0.000733961,0.000743747,0.000698078,0.002523518,0.0049557,0.08802825,0.02227455,0.044178533,0.023082234,0.011709438,0.025316732,0.037567019,0.026273818,0.020965818,0.061969727,0.157494809,0.179496653,0.181506725,0.048494218
8,7,0,0.306212108,0.874532818,1.440115367,0.720915275,0.869297887,0.063311732,0.050949233,0.043948231,0.039578395,0.114878144,0.303796889,0.577231966,0.45984074,0.781149595,0.477506674,0.291360667,0.26636753,0.257366893,0.425640805,0.712514856,0.665971993,0.445505358,0.325777856,0.508431516
9,0,7,0.306212108,0.874532818,1.440115367,0.720915275,0.869297887,0.063311732,0.050949233,0.043948231,0.039578395,0.114878144,0.303796889,0.577231966,0.45984074,0.781149595,0.477506674,0.291360667,0.26636753,0.257366893,0.425640805,0.712514856,0.665971993,0.445505358,0.325777856,0.508431516
10,3,1,0.212338925,0.067864896,0.09565426,0.028815605,0.040268645,0.027526445,0.042216086,0.045583822,0.084695744,0.380623276,1.738735391,2.711492308,3.650042112,2.699117413,0.474274639,1.035855312,1.481848019,1.928143442,1.36983134,1.443794956,1.143784648,1.054424178,1.328963783,1.712318045
11,1,3,0.212338925,0.067864896,0.09565426,0.028815605,0.040268645,0.027526445,0.042216086,0.045583822,0.084695744,0.380623276,1.738735391,2.711492308,3.650042112,2.699117413,0.474274639,1.035855312,1.481848019,1.928143442,1.36983134,1.443794956,1.143784648,1.054424178,1.328963783,1.712318045
12,5,7,0.10235711,0.033659741,0.01215112,0.027859824,0.146712445,0.019204313,0.021007572,0.001604926,0.007892192,0.368615035,0.13267456,0.136431784,0.164350976,0.052239047,0.050814186,0.089308928,0.061051788,0.136547261,0.064088099,0.103859608,0.117142657,0.18450324,0.116742078,0.081846023
13,7,5,0.10235711,0.033659741,0.01215112,0.027859824,0.146712445,0.019204313,0.021007572,0.001604926,0.007892192,0.368615035,0.13267456,0.136431784,0.164350976,0.052239047,0.050814186,0.089308928,0.061051788,0.136547261,0.064088099,0.103859608,0.117142657,0.18450324,0.116742078,0.081846023
14,2,6,1.266959479,0.979900796,0.936571049,0.355792588,0.112156294,0.172263394,0.074184781,0.047383166,0.112532735,0.257137898,0.656550554,1.496333456,1.774105748,3.29562089,3.172162261,2.060459828,1.655020871,2.35240897,2.250783211,2.343788689,2.444407128,2.317306753,2.395873115,2.082367072
15,6,2,1.266959479,0.979900796,0.936571049,0.355792588,0.112156294,0.172263394,0.074184781,0.047383166,0.112532735,0.257137898,0.656550554,1.496333456,1.774105748,3.29562089,3.172162261,2.060459828,1.655020871,2.35240897,2.250783211,2.343788689,2.444407128,2.317306753,2.395873115,2.082367072
16,4,2,2.086541838,1.64240915,0.7395135,0.637279044,0.254245117,0.139742107,0.095375681,0.10805786,0.195865596,0.509999906,1.525521586,2.624349377,3.730512857,3.475184741,3.789720936,3.425707996,3.630749072,3.812184685,3.353956699,3.296553835,2.95271795,3.365869037,2.870668376,3.498959179
17,2,4,2.086541838,1.64240915,0.7395135,0.637279044,0.254245117,0.139742107,0.095375681,0.10805786,0.195865596,0.509999906,1.525521586,2.624349377,3.730512857,3.475184741,3.789720936,3.425707996,3.630749072,3.812184685,3.353956699,3.296553835,2.95271795,3.365869037,2.870668376,3.498959179
18,7,4,1.588371414,1.891217089,1.231326852,0.681787043,0.522661862,0.252841786,0.166630493,0.307486915,0.22556978,0.42572562,0.621756928,1.011414764,1.783480214,1.536199565,1.530240461,1.577447474,1.437983948,1.338623352,1.147615594,1.831940506,1.864679046,2.29701944,2.888745326,2.573741354
19,4,7,1.588371414,1.891217089,1.231326852,0.681787043,0.522661862,0.252841786,0.166630493,0.307486915,0.22556978,0.42572562,0.621756928,1.011414764,1.783480214,1.536199565,1.530240461,1.577447474,1.437983948,1.338623352,1.147615594,1.831940506,1.864679046,2.29701944,2.888745326,2.573741354
20,6,5,0.60709599,0.589218025,0.736352579,0.126376854,0.096435846,0.022416776,0.140707673,0.437590982,0.447279258,0.787752628,0.195637906,0.136741678,0.380914249,1.356675511,1.230776873,1.128603088,1.213861862,1.16127704,0.806013557,1.85882498,1.426904084,1.482147474,1.238783888,1.277428686
21,5,6,0.60709599,0.589218025,0.736352579,0.126376854,0.096435846,0.022416776,0.140707673,0.437590982,0.447279258,0.787752628,0.195637906,0.136741678,0.380914249,1.356675511,1.230776873,1.128603088,1.213861862,1.16127704,0.806013557,1.85882498,1.426904084,1.482147474,1.238783888,1.277428686
22,8,2,1.233117715,1.584402156,1.075301921,0.856436948,0.350690748,0.000822035,0.000936208,0.000926422,0.000962303,0.000987749,0.001015148,0.02991687,0.162862178,0.652399928,0.72915455,0.695430221,0.49916796,0.849454867,1.564551956,1.731140698,1.823249765,1.312534818,1.372563629,1.568303963
23,2,8,1.233117715,1.584402156,1.075301921,0.856436948,0.350690748,0.000822035,0.000936208,0.000926422,0.000962303,0.000987749,0.001015148,0.02991687,0.162862178,0.652399928,0.72915455,0.695430221,0.49916796,0.849454867,1.564551956,1.731140698,1.823249765,1.312534818,1.372563629,1.568303963
24,8,4,0.08070561,0.051000121,0.003877919,0.004441601,0.006088934,0.001752371,0.002096191,0.00112932,0.001720403,0.001522723,0.001384411,0.012440789,0.052571123,0.015765466,0.003230077,0.107108605,0.004072337,0.011292548,0.035949697,0.098275639,0.107560072,0.001642765,0.00129699,0.001157374
25,4,8,0.08070561,0.051000121,0.003877919,0.004441601,0.006088934,0.001752371,0.002096191,0.00112932,0.001720403,0.001522723,0.001384411,0.012440789,0.052571123,0.015765466,0.003230077,0.107108605,0.004072337,0.011292548,0.035949697,0.098275639,0.107560072,0.001642765,0.00129699,0.001157374
26,1,2,0.008821876,0.00086118,0.525852143,0.000829212,0.000801158,0.000754184,0.007151708,0.000793331,0.000825298,0.00081812,0.001790863,0.00107256,0.00423805,0.073752888,0.018633455,0.064354934,0.024351168,0.028306072,0.050538869,0.152267708,0.05273553,0.05209943,0.017958212,0.000628922
27,2,1,0.008821876,0.00086118,0.525852143,0.000829212,0.000801158,0.000754184,0.007151708,0.000793331,0.000825298,0.00081812,0.001790863,0.00107256,0.00423805,0.073752888,0.018633455,0.064354934,0.024351168,0.028306072,0.050538869,0.152267708,0.05273553,0.05209943,0.017958212,0.000628922
28,6,4,1.627724728,2.502523076,1.830247506,3.347103793,1.795112668,0.419612546,0.263582395,0.149009579,0.110375869,0.091557784,0.251230333,0.479865133,0.763563908,0.789034612,0.91782277,0.709968504,1.40681641,2.43511291,0.626927269,0.969582294,0.677357185,0.739899726,0.983135441,1.640110061
