,src,dst,band3
0,5,4,0.007878041
1,4,5,0.007878041
2,0,8,0.088651921
3,8,0,0.088651921
4,3,5,0.031187569
5,5,3,0.031187569
6,3,0,0.000773226
7,0,3,0.000773226
8,7,0,0.445009429
9,0,7,0.445009429
10,3,1,0.01778741
11,1,3,0.01778741
12,5,7,0.017197422
13,7,5,0.017197422
14,2,6,0.219625054
15,6,2,0.219625054
16,4,2,0.393382126
17,2,4,0.393382126
18,7,4,0.420856199
19,4,7,0.420856199
20,6,5,0.078010404
21,5,6,0.078010404
22,8,2,0.528664783
23,2,8,0.528664783
24,8,4,0.002741729
25,4,8,0.002741729
26,1,2,0.000511859
27,2,1,0.000511859
28,6,4,2.066113453
29,4,6,2.066113453
30,7,6,1.231760793
31,6,7,1.231760793
32,7,6,0.555471143
33,6,7,0.555471143
34,8,1,0.430741404
35,1,8,0.430741404
36,1,7,0.118610787
37,7,1,0.118610787
38,5,0,1.993037194
39,0,5,1.993037194
40,8,6,1.598822241
41,6,8,1.598822241
42,4,7,0.948771114
43,7,4,0.948771114
44,3,6,0.131765286
45,6,3,0.131765286
46,0,1,0.020503364
47,1,0,0.020503364
48,3,0,0.478486069
49,0,3,0.478486069
50,5,1,0.263037239
51,1,5,0.263037239
52,0,8,0.734309757
53,8,0,0.734309757
54,2,8,0.276111597
55,8,2,0.276111597
56,3,2,0.016447957
57,2,3,0.016447957
58,8,7,0.034565599
59,7,8,0.034565599
60,1,7,0.091911952
61,7,1,0.091911952
62,3,2,0.028227163
63,2,3,0.028227163
64,3,6,0.050077631
65,6,3,0.050077631
66,3,5,0.001873058
67,5,3,0.001873058
68,7,1,0.002768309
69,1,7,0.002768309
70,0,3,0.01905115
71,3,0,0.01905115
72,1,4,0.003943048
73,4,1,0.003943048
74,0,8,0.271406197
75,8,0,0.271406197
76,4,1,0.063946559
77,1,4,0.063946559
78,7,4,0.003114649
79,4,7,0.003114649
80,3,0,0.001014859
81,0,3,0.001014859
82,2,3,0.013551181
83,3,2,0.013551181
84,7,2,0.118510509
85,2,7,0.118510509
86,2,0,0.196050937
87,0,2,0.196050937
88,0,4,0.028526788
89,4,0,0.028526788
90,0,2,0.085624259
91,2,0,0.085624259
92,4,7,0.00411058
93,7,4,0.00411058
94,5,7,1.026546731
95,7,5,1.026546731
96,5,8,0.091483054
97,8,5,0.091483054
98,6,5,0.084211915
99,5,6,0.084211915
