,src,dst,band0,band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23
0,5,4,0.453900999,0.159609503,0.000718174,0.000702562,0.000721296,0.000777502,0.002151399,0.012476245,0.10422829,0.342911256,1.093866535,0.395139372,0.710979837,0.593286095,0.640111044,0.733930807,0.866353986,0.446388274,0.421177241,0.241777359,0.134613923,0.119172556,0.110611921,0.544226063
1,4,5,0.453900999,0.159609503,0.000718174,0.000702562,0.000721296,0.000777502,0.002151399,0.012476245,0.10422829,0.342911256,1.093866535,0.395139372,0.710979837,0.593286095,0.640111044,0.733930807,0.866353986,0.446388274,0.421177241,0.241777359,0.134613923,0.119172556,0.110611921,0.544226063
2,0,8,0.292571625,0.152468355,0.153838505,0.083992643,0.138563256,0.059565357,0.202654358,0.354864795,0.811632244,0.789561818,0.705754028,0.725542533,0.898466359,0.748813247,0.712735928,0.921579074,1.154073252,1.521633492,1.063401591,0.900442274,0.681617134,0.967513488,1.132383771,1.028761245
3,8,0,0.292571625,0.152468355,0.153838505,0.083992643,0.138563256,0.059565357,0.202654358,0.354864795,0.811632244,0.789561818,0.705754028,0.725542533,0.898466359,0.748813247,0.712735928,0.921579074,1.154073252,1.521633492,1.063401591,0.900442274,0.681617134,0.967513488,1.132383771,1.028761245
4,3,5,0.042958674,0.012629871,0.001482562,0.001259615,0.0009355,0.001087878,0.015538789,0.032161084,0.529839475,0.571767102,0.881573032,0.746080438,0.855919854,0.964188653,0.878496748,1.284105849,0.965909773,0.579870604,0.598576853,0.31070958,0.2319059,0.169498447,0.076513016,0.075009222
5,5,3,0.042958674,0.012629871,0.001482562,0.001259615,0.0009355,0.001087878,0.015538789,0.032161084,0.529839475,0.571767102,0.881573032,0.746080438,0.855919854,0.964188653,0.878496748,1.284105849,0.965909773,0.579870604,0.598576853,0.31070958,0.2319059,0.169498447,0.076513016,0.075009222
6,3,0,0.000721296,0.000968598,0.000755644,0.001169063,0.000743154,0.001623698,0.004521374,0.000711929,0.002970118,0.033894069,0.015068541,0.011978519,0.012443771,0.031066961,0.094105158,0.0839839,0.06143823,0.006970036,0.007336616,0.009408081,0.010564653,0.00240682,0.010291123,0.052118829
7,0,3,0.000721296,0.000968598,0.000755644,0.001169063,0.000743154,0.001623698,0.004521374,0.000711929,0.002970118,0.033894069,0.015068541,0.011978519,0.012443771,0.031066961,0.094105158,0.0839839,0.06143823,0.006970036,0.007336616,0.009408081,0.010564653,0.00240682,0.010291123,0.052118829
8,7,0,0.667316103,0.102668916,0.089989084,0.010500954,0.014830607,0.032186688,0.145147351,0.236331726,0.466460926,0.339580801,0.951370183,0.674507836,0.638597883,0.905551927,1.102710692,0.93255652,0.683847221,0.351395702,0.715306991,1.038479077,0.465953833,0.208776948,0.447860218,0.633092923
9,0,7,0.667316103,0.102668916,0.089989084,0.010500954,0.014830607,0.032186688,0.145147351,0.236331726,0.466460926,0.339580801,0.951370183,0.674507836,0.638597883,0.905551927,1.102710692,0.93255652,0.683847221,0.351395702,0.715306991,1.038479077,0.465953833,0.208776948,0.447860218,0.633092923
